fixed acidity,volatile acidity,citric acid,chlorides,free sulfur dioxide,density,alcohol,quality
8.9,0.22,0.48,0.077,29.0,0.9968,9.4,6
6.3,0.39,0.16,0.08,11.0,0.9955,9.3,5
7.6,0.41,0.24,0.08,4.0,0.9962,9.5,5
6.9,0.605,0.12,0.073,40.0,0.9993,9.4,6
8.1,0.38,0.28,0.066,13.0,0.9968,9.7,7
6.4,0.4,0.23,0.066,5.0,0.9958,9.2,5
5.6,0.31,0.37,0.074,12.0,0.9954,9.2,5
8.6,0.38,0.36,0.081,30.0,0.997,9.4,5
7.8,0.59,0.18,0.076,17.0,0.9975,10.0,5
7.3,0.39,0.31,0.074,9.0,0.9962,9.4,6
8.8,0.4,0.4,0.079,19.0,0.998,9.2,5
7.5,0.52,0.11,0.079,11.0,0.9968,9.6,5
6.2,0.45,0.2,0.069,3.0,0.9958,9.2,5
6.3,0.3,0.48,0.069,18.0,0.9959,10.3,6
6.9,0.55,0.15,0.076,19.0,0.9961,10.1,5
7.7,0.49,0.26,0.062,9.0,0.9966,9.6,5
7.9,0.52,0.26,0.079,42.0,0.9964,9.5,5
7.7,0.49,0.26,0.062,9.0,0.9966,9.6,5
7.0,0.5,0.25,0.07,3.0,0.9963,9.2,5
8.1,0.545,0.18,0.08,13.0,0.9972,9.0,6
7.8,0.5,0.3,0.075,8.0,0.9959,10.4,6
8.1,0.545,0.18,0.08,13.0,0.9972,9.0,6
8.1,0.575,0.22,0.077,12.0,0.9967,9.2,5
7.2,0.49,0.24,0.07,5.0,0.996,9.4,5
8.1,0.575,0.22,0.077,12.0,0.9967,9.2,5
8.3,0.54,0.28,0.077,11.0,0.9978,10.0,6
6.1,0.38,0.15,0.072,6.0,0.9955,9.4,5
7.2,0.415,0.36,0.081,13.0,0.9972,9.2,5
7.8,0.56,0.19,0.081,15.0,0.9962,9.5,5
7.8,0.56,0.19,0.081,17.0,0.9962,9.5,5
6.9,0.49,0.1,0.074,12.0,0.9959,10.2,6
7.3,0.33,0.47,0.077,5.0,0.9958,10.3,6
